,Year,Country of origin,Country of origin (ISO),Country of asylum,Country of asylum (ISO),Refugees under UNHCR's mandate,Asylum-seekers,IDPs of concern to UNHCR,Venezuelans displaced abroad,Stateless persons,Others of concern,name,region,sub-region,alpha-3
652,2019,Myanmar,MMR,United Kingdom of Great Britain and Northern Ireland,GBR,613,54,0,,0,0,Myanmar,Asia,South-eastern Asia,MMR
653,2019,Namibia,NAM,United Kingdom of Great Britain and Northern Ireland,GBR,107,659,0,,0,0,Namibia,Africa,Sub-Saharan Africa,NAM
654,2019,Nepal,NPL,United Kingdom of Great Britain and Northern Ireland,GBR,47,287,0,,0,0,Nepal,Asia,Southern Asia,NPL
655,2019,Netherlands,NLD,United Kingdom of Great Britain and Northern Ireland,GBR,5,0,0,,0,0,Netherlands,Europe,Western Europe,NLD
656,2019,Niger,NER,United Kingdom of Great Britain and Northern Ireland,GBR,190,11,0,,0,0,Niger,Africa,Sub-Saharan Africa,NER
657,2019,Nicaragua,NIC,United Kingdom of Great Britain and Northern Ireland,GBR,12,86,0,,0,0,Nicaragua,Americas,Latin America and the Caribbean,NIC
658,2019,Nigeria,NGA,United Kingdom of Great Britain and Northern Ireland,GBR,2816,2237,0,,0,0,Nigeria,Africa,Sub-Saharan Africa,NGA
659,2019,Norway,NOR,United Kingdom of Great Britain and Northern Ireland,GBR,5,0,0,,0,0,Norway,Europe,Northern Europe,NOR
660,2019,Oman,OMN,United Kingdom of Great Britain and Northern Ireland,GBR,19,17,0,,0,0,Oman,Asia,Western Asia,OMN
661,2019,Pakistan,PAK,United Kingdom of Great Britain and Northern Ireland,GBR,8164,3910,0,,0,0,Pakistan,Asia,Southern Asia,PAK
662,2019,Philippines,PHL,United Kingdom of Great Britain and Northern Ireland,GBR,40,179,0,,0,0,Philippines,Asia,South-eastern Asia,PHL
663,2019,Qatar,QAT,United Kingdom of Great Britain and Northern Ireland,GBR,5,10,0,,0,0,Qatar,Asia,Western Asia,QAT
664,2019,Romania,ROU,United Kingdom of Great Britain and Northern Ireland,GBR,5,6,0,,0,0,Romania,Europe,Eastern Europe,ROU
665,2019,South Africa,ZAF,United Kingdom of Great Britain and Northern Ireland,GBR,156,152,0,,0,0,South Africa,Africa,Sub-Saharan Africa,ZAF
666,2019,Russian Federation,RUS,United Kingdom of Great Britain and Northern Ireland,GBR,722,453,0,,0,0,Russian Federation,Europe,Eastern Europe,RUS
667,2019,Rwanda,RWA,United Kingdom of Great Britain and Northern Ireland,GBR,118,31,0,,0,0,Rwanda,Africa,Sub-Saharan Africa,RWA
668,2019,El Salvador,SLV,United Kingdom of Great Britain and Northern Ireland,GBR,304,998,0,,0,0,El Salvador,Americas,Latin America and the Caribbean,SLV
669,2019,Saudi Arabia,SAU,United Kingdom of Great Britain and Northern Ireland,GBR,212,152,0,,0,0,Saudi Arabia,Asia,Western Asia,SAU
670,2019,Serbia,SRB,United Kingdom of Great Britain and Northern Ireland,GBR,86,55,0,,0,0,Serbia,Europe,Southern Europe,SRB
